name,country,province,population,latitude,longitude,elevation
Elche,3530,Valenciana,235566,38.27,-0.7,86
Eldoret,3531,Kenya,475716,0.52,35.28,NULL
Elektrostal,3532,Moskovskaya,146403,55.78,38.47,150
Elista,3533,Kalmykiya,102583,46.32,44.27,120
Elizabeth,3534,New Jersey,137298,40.67,-74.19,5
Embu,3535,São Paulo,240230,-23.65,-46.85,775
Emfuleni,3536,Gauteng,721662,-26.7,27.84,1468
Ėngels,3537,Saratovskaya,225428,51.5,46.12,20
Enschede,3538,Overijssel,158494,52.22,6.9,42
Ensenada,3539,Baja California,330652,31.86,-116.61,16
Enterprise,3540,Nevada,221831,36.03,-115.2,778
Enugu,3541,Enugu,885000,6.45,7.51,202
Envigado,3542,Antioquia,215766,6.17,-75.58,1675
Episkopi Cantonment,3543,Akrotiri and Dhekelia,NULL,34.69,32.85,30
Erdenet,3544,Mongolia,100183,49.03,104.06,1300
Erfurt,3545,Thüringen,200868,50.98,11.03,194
Erie,3546,Pennsylvania,93928,42.13,-80.09,199
Erlangen,3547,Bayern,103719,49.58,11.02,279
Ermoupoli,3548,Notioy Aigaioy,NULL,37.43,24.92,20
Erzincan,3549,Erzincan,134544,39.75,39.49,1185
Erzurum,3550,Erzurum,417028,39.91,41.28,1900
Esbjerg,3551,Syddanmark,72060,55.48,8.45,11
Escobedo,3552,Nuevo Léon,454967,25.79,-100.16,510
Escondido,3553,California,151038,33.12,-117.08,197
Esfahan,3554,Esfahan,1961260,32.63,51.65,1574
Eskilstuna,3555,Södermanland,98765,59.37,16.51,26
Eskisehir,3556,Eskişehir,779758,39.78,30.52,788
Eslam Shahr,3557,Tehran,448129,35.56,51.23,1456
Espoo,3558,Uusimaa,261654,60.21,24.66,NULL
Essen,3559,Nordrhein-Westfalen,566201,51.45,7.01,116
Estelí,3560,Nicaragua,122924,13.08,-86.35,843.97
eThekwini,3561,KwaZulu-Natal,3442361,-29.88,31.05,6
Eugene,3562,Oregon,176654,44.05,-123.09,131
Evansville,3563,Indiana,117298,37.98,-87.55,118
Evora,3564,Evora,NULL,38.57,-7.9,300
Ewo,3565,Cuvette-Ouest,NULL,-0.87,14.82,534
Exeter,3566,South West England,124893,50.72,-3.53,NULL
Faisalabad,3567,Punjab,3204726,31.43,73.08,184
Fakaofo,3568,Tokelau,490,-9.37,-171.21,NULL
Falun,3569,Dalarna,51900,60.61,15.63,110
Fargo,3570,North Dakota,125990,46.88,-96.79,276
Fargona,3571,Fargʻona,288850,40.39,71.79,582
Faridabad,3572,Uttar Pradesh,1414050,28.42,77.31,198
Faro,3573,Algarve,NULL,37.03,-7.92,6
Fatick,3574,Fatick,NULL,14.33,-16.41,11
Fayetteville,3575,North Carolina,208501,35.05,-78.88,80
Feira de Santana,3576,Bahia,510635,-12.25,-38.95,286
Ferrara,3577,Emilia-Romagna,132545,44.83,11.62,9
Ferraz de Vasconcelos,3578,São Paulo,160754,-23.54,-46.37,759
Fès,3579,Fes Boulemane,1112072,34.03,-5,412
Fianarantsoa,3580,Madagascar,191776,-21.45,47.09,1200
Firenze,3581,Toscana,358079,43.78,11.25,50
Flint,3582,Michigan,81252,43.01,-83.69,229
Florencia,3583,Caquetá,147939,1.61,-75.61,242
Florianópolis,3584,Santa Catarina,405286,-27.83,-48.42,3
Floridablanca,3585,Santander,280025,7.22,-73.07,925
Flying Fish Cove,3586,Christmas Island,NULL,-10.25,105.43,NULL
Focsani,3587,Vrancea,NULL,45.7,27.18,55
Fóggia,3588,Puglia,147036,41.46,15.55,76
Fontana,3589,California,208393,34.1,-117.47,377
Forlí,3590,Emilia-Romagna,116434,44.23,12.05,34
Formosa,3591,Formosa,222226,-26.18,-58.18,57
Fort-de-France,3592,Martinique,100000,14.6,-61,NULL
Fort Collins,3593,Colorado,169810,40.56,-105.08,1525
Fort Lauderdale,3594,Florida,182760,26.13,-80.15,3
Fort Wayne,3595,Indiana,263886,41.08,-85.14,247
Fort Worth,3596,Texas,918915,32.76,-97.33,199
Fortaleza,3597,Ceará,2452185,-3.72,-38.54,21
Foshan,3598,Guangdong,9042509,23.02,113.12,16
Foz do Iguaçu,3599,Paraná,253962,-25.55,-54.58,164
Franca,3600,São Paulo,313046,-20.54,-47.4,1040
Franceville,3601,Gabon,110568,-1.63,13.58,295
Francisco Morato,3602,São Paulo,154158,-23.28,-46.74,792
Francistown,3603,Botswana,102444,-21.17,27.51,1001
Frankfort,3604,Kentucky,28602,38.2,-84.87,155
Frankfurt,3605,Hessen,667925,50.12,8.68,112
Frauenfeld,3606,Thurgau,NULL,47.55,8.9,417
Fredericton,3607,New Brunswick,56224,45.96,-66.65,20
Freetown,3608,Sierra Leone,1055964,8.48,-13.23,26
Freiburg,3609,Baden-Württemberg,209628,48,7.85,278
Fremont,3610,California,230504,37.55,-121.99,17
Fresno,3611,California,542107,36.75,-119.77,94
Fribourg,3612,Fribourg,NULL,46.8,7.15,610
Frisco,3613,Texas,200509,33.14,-96.81,236
Fuenlabrada,3614,Madrid,192612,40.28,-3.8,664
Fujisawa,3615,Kanagawa,423894,35.35,139.47,NULL
Fukui,3616,Fukui,265904,36.07,136.22,NULL
Fukuoka,3617,Fukuoka,1538681,33.58,130.4,NULL
Fukushima,3618,Fukushima,294247,37.77,140.47,67
Fukuyama,3619,Hiroshima,464811,34.48,133.37,NULL
Fullerton,3620,California,143617,33.88,-117.93,50
Funabashi,3621,Chiba,622890,35.7,139.98,NULL
Funafuti,3622,Tuvalu,6320,-8.52,179.2,NULL
Funchal,3623,Madeira,105590,32.65,-16.92,NULL
Fürth,3624,Bayern,115613,49.47,11,294
Fushun,3625,Liaoning,1228890,41.87,123.9,NULL
Fuyang,3626,Anhui,1191810,32.9,115.82,NULL
Fuzhou,3627,Fujian,3723454,26.08,119.31,NULL
Gaborone,3628,Botswana,244107,-24.66,25.91,1014
Gagnoa,3629,Gôh-Djiboua,167900,6.13,-5.93,NULL
Galaţi,3630,Galaţi,249432,45.42,28.04,55
Galway,3631,Connacht,83456,53.27,-9.05,25
Gambella,3632,Gambella,NULL,8.25,34.58,526
Gander,3633,Newfoundland and Labrador,NULL,48.96,-54.61,128
Gandhinagar,3634,Gujarat,NULL,23.22,72.68,81
Gangtok,3635,Sikkim,NULL,27.33,88.62,1600
Ganja,3636,Azerbaijan,322600,40.68,46.36,408
Ganzhou,3637,Jiangxi,1778132,25.87,114.93,107
Gao,3638,Gao,NULL,16.27,-0.05,226
Garanhuns,3639,Pernambuco,115356,-8.89,-36.49,896
Garden Grove,3640,California,171949,33.78,-117.96,27
Garland,3641,Texas,246018,32.91,-96.64,168
Garoua,3642,Nord,235996,9.3,13.4,249
Gatchina,3643,Leningradskaya,94377,59.58,30.13,100
Gateshead,3644,North East England,115720,54.95,-1.6,NULL
Gatineau,3645,Ontario,265349,45.48,-75.65,NULL
Gauhati,3646,Assam,584342,26.18,91.73,55.5
Gävle,3647,Gävleborg,96170,60.67,17.14,8
Gaza,3648,Gaza Strip,631215,31.5,34.5,NULL
Gaziantep,3649,Gaziantep,1714775,37.07,37.38,850
Gbadolite,3650,Nord-Ubangi,NULL,4.3,21,400
Gdańsk,3651,Pomorskie,486022,54.37,18.63,3
Gdynia,3652,Pomorskie,245222,54.5,18.53,3
Gebze,3653,Kocaeli,748510,40.8,29.43,NULL
Geelong,3654,Victoria,287704,-38.15,144.35,NULL
Geita,3655,Geita,NULL,-2.87,32.23,NULL
Gelsenkirchen,3656,Nordrhein-Westfalen,258766,51.52,7.1,48
Gemena,3657,Sud-Ubangi,NULL,3.25,19.75,400
General San Martín,3658,Buenos Aires,414196,-23.8,-64.78,472
General Santos,3659,Soccsksargen,474395,6.12,125.17,15
General Trias,3660,Calabarzon,314303,14.38,120.88,22
Genève,3661,Genève,203856,46.2,6.15,375
Génova,3662,Liguria,586180,44.41,8.93,20
Gent,3663,Oost-Vlaanderen,263927,51.05,3.73,NULL
George Town,3664,Cayman Islands,34399,19.3,-81.39,3
Georgetown,3665,Guyana,118363,6.8,-58.17,-2
Georgetown,3666,Pulau Pinang,708127,5.4,100.23,NULL
Gera,3667,Thüringen,96067,50.88,12.08,194
Getafe,3668,Madrid,183872,40.3,-3.73,622
Ghardaïa,3669,Algeria,142913,32.48,3.67,572
Ghaziabad,3670,Uttar Pradesh,1648643,28.67,77.42,214
Gibraltar,3671,Gibraltar,NULL,36.12,-5.25,NULL
Gifu,3672,Gifu,406735,35.42,136.77,NULL
Gijón,3673,Asturias,269311,43.53,-5.7,14
Gilbert,3674,Arizona,267918,33.35,-111.79,377
Gilgit,3675,Gilgit-Baltistan,216760,35.92,74.29,1500
Gillingham,3676,South East England,107897,51.38,0.55,NULL
Giresun,3677,Giresun,122787,40.92,38.39,10
Girón,3678,Santander,141107,7.07,-73.17,706
Girona,3679,Catalunya,101648,41.98,2.82,70
Gisenyi,3680,Rwanda,136830,-1.7,29.25,1481
Gitega,3681,Burundi,41944,-3.44,29.93,1725
Giugliano in Campania,3682,Campania,108793,40.93,14.2,NULL
Giurgiu,3683,Giurgiu,NULL,43.9,25.97,25
Glarus,3684,Glarus,NULL,47.03,9.07,472
Glasgow,3685,Scotland,631690,55.86,-4.26,NULL
Glendale,3686,Arizona,248325,33.54,-112.19,351
Glendale,3687,California,196543,34.17,-118.25,159
Gliwice,3688,Śląskie,174016,50.28,18.67,200
Gloucester,3689,South West England,151176,51.87,-2.24,NULL
Goaso,3690,Ahafo,NULL,6.8,-2.51,NULL
Godomey,3691,Benin,253262,6.36,2.35,30
Goiânia,3692,Goiás,1297076,-16.67,-49.25,749
Gölcük,3693,Kocaeli,166180,40.67,29.83,NULL
Gold Coast,3694,Queensland,718772,-28.02,153.4,NULL
Goma,3695,Nord-Kivu,461306,-1.68,29.23,1489
Gombe,3696,Gombe,460000,10.28,11.17,NULL
Gomel,3697,Gomel,492136,52.45,30.98,138
Gómez Palacio,3698,Durango,301742,25.58,-103.5,NULL
Gonaïves,3699,Haiti,228725,19.45,-72.68,6
Gonbad-e-Kavus,3700,Golestan,151910,37.25,55.17,NULL
Gondar,3701,Amhara,466000,12.6,37.47,2133
Gorakhpur,3702,Uttar Pradesh,505566,26.76,83.37,84
Gorgan,3703,Golestan,350676,36.84,54.43,1350
Gorno Altaysk,3704,Altay,56933,51.95,85.97,300
Gorontalo,3705,Gorontalo,153036,0.53,123.07,9
Gorzów Wielkopolski,3706,Lubuskie,119964,52.73,15.25,19
Göteborg,3707,Västra Götaland,526089,57.7,11.97,12
Göttingen,3708,Niedersachsen,115843,51.53,9.94,150
Governador Valadares,3709,Minas Gerais,253300,-18.85,-41.95,170
Goyang,3710,South Korea,1045497,37.65,126.8,NULL
Gracias,3711,Lempira,NULL,14.58,-88.58,800
Granada,3712,Andalucía,233680,37.18,-3.6,738
Granada,3713,Nicaragua,123697,11.93,-85.95,NULL
Grand Prairie,3714,Texas,196100,32.72,-97.02,157
Grand Rapids,3715,Michigan,198917,42.96,-85.66,195
Grand Turk,3716,Turks and Caicos Islands,NULL,21.47,-71.14,NULL
Gravataí,3717,Rio Grande do Sul,243497,-29.94,-50.99,26
Graz,3718,Steiermark,261726,47.07,15.43,353
Green Bay,3719,Wisconsin,107395,44.51,-88.02,177
Greensboro,3720,North Carolina,299035,36.08,-79.82,273
Grenoble,3721,Auvergne-Rhône-Alpes,157424,45.2,5.72,212
Grodno,3722,Grodno,327540,53.67,23.83,137
Groningen,3723,Groningen,198023,53.22,6.57,7
Grozny,3724,Chechenskaya,328533,43.32,45.72,130
Grudziadz,3725,Kujawsko-Pomorskie,90890,53.49,18.78,50
Guacara,3726,Carabobo,141762,10.25,-67.9,438
Guadalajara,3727,Jalisco,1385621,20.68,-103.34,1566
Guadalupe,3728,Nuevo Léon,635862,25.68,-100.26,500
Guanajuato,3729,Guanajuato,72237,21.02,-101.27,NULL
Guanare,3730,Portuguesa,129751,9.04,-69.75,183
Guangzhou,3731,Guangdong,16096724,23.13,113.27,21
Guantánamo,3732,Guantánamo,217135,20.14,-75.21,46
Guarapuava,3733,Paraná,152993,-25.39,-51.46,1120
Guarda,3734,Guarda,NULL,40.53,-7.33,1056
Guarenas,3735,Miranda,170204,10.47,-66.62,374
Guarujá,3736,São Paulo,290696,-23.99,-46.26,4
Guarulhos,3737,São Paulo,1221979,-23.47,-46.53,759
Guayaquil,3738,Ecuador,2291158,-2.18,-79.88,4
Guelmim,3739,Guelmim Es Semara,118318,28.98,-10.07,NULL
Guigang,3740,Guangxi,921440,23.1,109.61,45
Guilin,3741,Guangxi,1361244,25.27,110.28,153
Guiyang,3742,Guizhou,4021275,26.65,106.63,1275
Gujranwala,3743,Punjab,2027001,32.15,74.18,NULL
Gujrat,3744,Punjab,390533,32.57,74.08,NULL
Guliston,3745,Sirdaryo,NULL,40.48,68.78,271
Gulu,3746,Northern,149802,2.76,32.3,1078
Gümüşhane,3747,Gümüşhane,NULL,40.46,39.48,NULL
Gunsan,3748,South Korea,269023,35.98,126.72,NULL
Guntur,3749,Andhra Pradesh,651382,16.3,80.44,30
Gusau,3750,Zamfara,132393,12.15,6.67,450
Gustavia,3751,Saint Barthelemy,2299,17.9,-62.85,NULL
Gwalior,3752,Madhya Pradesh,1054420,26.22,78.18,196
Gwangju,3753,South Korea,1477573,35.17,126.92,NULL
Győr,3754,Győr-Moson-Sopron,129527,47.68,17.63,108
Ha Long,3755,Northern Midlands and Mountains,270054,20.95,107.08,NULL
Haarlem,3756,Noord-Holland,155361,52.38,4.63,2
Hachioji,3757,Tokyo,577513,35.67,139.32,NULL
Haeju,3758,North Korea,273300,38.05,125.72,NULL
Hafar al_Batin,3759,Ash Sharqiyah,271642,28.43,45.96,NULL
Hagåtña,3760,Guam,NULL,13.48,144.75,5
Hagen,3761,Nordrhein-Westfalen,187944,51.37,7.48,106
Haifa,3762,Hefa,285316,32.82,34.98,475
Haikou,3763,Hainan,2349239,20.04,110.34,NULL
Hail,3764,Hail,310897,27.52,41.68,992
Hailar,3765,Nei Mongol,365012,49.2,119.7,614
Haining,3766,Zhejiang,752775,30.53,120.68,NULL
Haiphong,3767,Red River Delta,841520,20.87,106.68,NULL
Hakha,3768,Chin,NULL,22.65,93.61,1868
Hakkari,3769,Hakkari,NULL,37.58,43.74,NULL
Hakodate,3770,Hokkaido,265979,41.77,140.73,NULL
Halab,3771,Halab,2181061,36.22,37.17,379
Halifax,3772,Nova Scotia,390096,44.65,-63.57,10
Halle,3773,Sachsen-Anhalt,229153,51.48,11.97,88
Halmstad,3774,Halland,93231,56.67,12.86,11
Hamah,3775,Hamah,467807,35.13,36.75,280
Hamamatsu,3776,Shizuoka,797980,34.71,137.73,NULL
Hamar,3777,Hedmark,15685,60.8,11.06,134
Hamburg,3778,Hamburg,1706696,53.57,10,6
Hamedan,3779,Hamedan,554406,34.8,48.52,1850
Hämeenlinna,3780,Kanta-Häme,67803,61,24.47,NULL
Hamhung-Hungnam,3781,North Korea,768551,39.92,127.53,NULL
Hamilton,3782,Bermuda,NULL,32.29,-64.78,NULL
Hamilton,3783,Ontario,519949,43.25,-79.87,75
Hamilton,3784,New Zealand,168600,-37.78,175.28,40
Hamm,3785,Nordrhein-Westfalen,176037,51.68,7.82,63
Hammerfest,3786,Finnmark,7089,70.66,23.68,2
Hampton,3787,Virginia,137148,37.03,-76.36,3
Handan,3788,Hebei,2095134,36.6,114.48,NULL
Hangzhou,3789,Zhejiang,9236032,30.25,120.17,NULL
Hannover,3790,Niedersachsen,506416,52.37,9.72,55
Hanoi,3791,Red River Delta,3605364,21.03,105.85,19
Haora,3792,West Bengal,1077075,22.59,88.31,12
Harar,3793,Harari,157000,9.32,42.12,1885
Harare,3794,Zimbabwe,1491740,-17.86,31.03,1490
Harbin,3795,Heilongjiang,5242897,45.75,126.63,150
Hargeisa,3796,Somalia,760000,9.55,44.07,1330
Härnösand,3797,Västernorrland,27287,62.64,17.94,1
Harrisburg,3798,Pennsylvania,50099,40.27,-76.88,98
Hartford,3799,Connecticut,121054,41.76,-72.67,18
Hasselt,3800,Limburg,78714,50.93,5.34,NULL
Hatay,3801,Hatay,362124,36.2,36.15,67
Hayward,3802,California,162954,37.67,-122.08,32
Heerlen,3803,Limburg,88139,50.88,5.98,113
Hefei,3804,Anhui,5055978,31.87,117.28,37
Heidelberg,3805,Baden-Württemberg,146751,49.42,8.72,114
Heilbronn,3806,Baden-Württemberg,116059,49.15,9.22,157
Helena,3807,Montana,32091,46.6,-112.03,1181
Helsingborg,3808,Skåne,132011,56.05,12.72,10
Helsingør,3809,Hovedstaden,NULL,56.03,12.62,8
Helsinki,3810,Uusimaa,614535,60.17,24.94,NULL
Hemel Hempstead,3811,East of England,103212,51.75,-0.47,NULL
Henderson,3812,Nevada,317610,36.03,-114.98,569
Hengyang,3813,Hunan,1185130,26.9,112.6,NULL
Herat,3814,Afghanistan,574300,34.34,62.2,920
Heredia,3815,Heredia,123616,10,-84.12,1150
Herisau,3816,Appenzell Ausserrhoden,NULL,47.38,9.27,771
Hermansverk,3817,Sogn og Fjordane,NULL,61.18,6.85,6
Hermosillo,3818,Sonora,855563,29.1,-110.95,210
Herne,3819,Nordrhein-Westfalen,155160,51.55,7.22,65
Heze,3820,Shandong,1293767,35.23,115.43,NULL
Hialeah,3821,Florida,223109,25.86,-80.29,2
Higashiosaka,3822,Osaka,502784,34.68,135.6,NULL
High Wycombe,3823,South East England,127856,51.63,-0.75,NULL
Hildesheim,3824,Niedersachsen,99554,52.15,9.95,81
Hillerød,3825,Hovedstaden,NULL,55.93,12.31,41
Hilo,3826,Hawaii,44186,19.71,-155.09,18
Hilversum,3827,Noord-Holland,86738,52.23,5.17,15
Himeji,3828,Hyogo,535664,34.82,134.68,NULL
Hims,3829,Hims,750501,34.73,36.71,501
Hirakata,3830,Osaka,404152,34.82,135.65,NULL
Hiroshima,3831,Hiroshima,1194034,34.39,132.46,NULL
Ho,3832,Volta,104532,6.61,0.47,150
Hobart,3833,Tasmania,218386,-42.88,147.32,54
Hódmezővásárhely,3834,Csongrád,NULL,46.43,20.32,NULL
Hohhot,3835,Nei Mongol,2373399,40.82,111.65,1065
Holguín,3836,Holguín,287881,20.89,-76.26,5
Hollywood,3837,Florida,153067,26.02,-80.17,3
Honiara,3838,Solomon Islands,130176,-9.43,159.95,29
Honolulu,3839,Hawaii,350964,21.3,-157.82,6
Horlivka,3840,Donetska,241106,48.3,38.05,215
Hortolândia,3841,São Paulo,192692,-22.86,-47.22,587
Hospitalet de Llobregat,3842,Catalunya,265003,41.36,2.1,8
Houston,3843,Texas,2304580,29.76,-95.38,13
Hpa an,3844,Kayin,NULL,16.89,97.63,NULL
Hradec Králové,3845,Královéhradecký,92649,50.21,15.83,235
Hsinchu,3846,Taiwan,425071,24.82,120.98,NULL
Huaian,3847,Jiangsu,1850000,33.3,119.13,NULL
Huaibei,3848,Anhui,830891,33.58,116.47,NULL
Huainan,3849,Anhui,1300351,32.62,116.98,NULL
Hualien,3850,Taiwan,108077,23.97,121.61,NULL
Huambo,3851,Huambo,665574,-12.77,15.73,1721
Huancavelica,3852,Huancavelica,NULL,-12.79,-74.98,3676
Huancayo,3853,Junín,420306,-12.07,-75.22,3259
Huánuco,3854,Huánuco,203809,-9.93,-76.24,1880
Huaraz,3855,Ancash,120928,-9.53,-77.53,3052
Hubli,3856,Karnataka,648298,15.36,75.08,671
Huddersfield,3857,Yorkshire and the Humber,167534,53.65,-1.78,NULL
Huddinge,3858,Stockholm,101010,59.23,17.98,NULL
Hue,3859,North and South Central Coast,351456,16.47,107.58,NULL
Huelva,3860,Andalucía,142668,37.25,-6.95,54
Huichon,3861,North Korea,168180,40.17,126.28,NULL
Huizhou,3862,Guangdong,2900113,23.07,114.4,15
Huludao,3863,Liaoning,764241,40.72,120.83,NULL
Huntington Beach,3864,California,198711,33.69,-118,12
Huntsville,3865,Alabama,215006,34.73,-86.58,193
Hurghada,3866,Egypt,195675,27.26,33.81,14
Huzhou,3867,Zhejiang,1083953,30.87,120.1,NULL
Hyderabad,3868,Telangana,6731790,17.37,78.48,505
Hyderabad,3869,Sindh,1734309,25.38,68.37,13
Iaşi,3870,Iaşi,290422,47.16,27.59,60
Ibadan,3871,Oyo,3160000,7.4,3.92,239
Ibagué,3872,Tolima,492554,4.43,-75.23,1285
Ibirité,3873,Minas Gerais,158590,-20.02,-44.06,872
Ica,3874,Ica,284981,-14.07,-75.73,406
Ichikawa,3875,Chiba,481732,35.72,139.93,NULL
Idlib,3876,Idlib,126284,35.93,36.63,500
Ife,3877,Osun,505000,7.47,4.57,NULL
Iğdır,3878,Iğdır,99276,39.92,44.04,861
Ijebu-Ode,3879,Ogun,124313,6.82,3.92,70
Ikare,3880,Ondo,410000,7.52,5.75,NULL
Ikire,3881,Osun,111435,7.36,4.18,NULL
Ikorodu,3882,Lagos,184674,6.6,3.5,NULL
Ilam,3883,Ilam,194030,33.64,46.42,1431
Ilawe-Ekiti,3884,Ekiti,104049,7.6,5.1,NULL
Ilesha,3885,Osun,290000,7.62,4.72,NULL
Ilhéus,3886,Bahia,155281,-14.79,-39.05,52
Iligan,3887,Northern Mindanao,299054,8.22,124.24,10
Illéla,3888,Tahoua,142214,14.46,5.24,NULL
Iloilo,3889,Western Visayas,447992,11,122.67,NULL
Ilorin,3890,Kwara,960000,8.5,4.55,NULL
Imperatriz,3891,Maranhão,234547,-5.53,-47.48,95
Impfondo,3892,Likouala,NULL,1.64,18.07,326
Imphal,3893,Manipur,NULL,24.82,93.95,786
Imus,3894,Calabarzon,403785,14.43,120.94,NULL
Incheon,3895,South Korea,2945454,37.48,126.63,NULL
Indaiatuba,3896,São Paulo,199592,-23.09,-47.22,624
Independence,3897,Missouri,123011,39.08,-94.41,315
Indianapolis,3898,Indiana,887642,39.77,-86.15,218
Indore,3899,Madhya Pradesh,1964086,22.7,75.9,553
İnegöl,3900,Bursa,233174,40.08,29.51,NULL
Inglewood,3901,California,107762,33.96,-118.35,40
Ingolstadt,3902,Bayern,124927,48.77,11.43,374
Inhambane,3903,Inhambane,82119,-23.86,35.38,3
Inirida,3904,Guainía,20279,3.87,-67.92,95
Innsbruck,3905,Tirol,119617,47.27,11.38,574
Inongo,3906,Mai-Ndombe,NULL,-1.93,18.28,NULL
Ioannina,3907,Ipeiroy,112486,39.67,20.85,480
Ipatinga,3908,Minas Gerais,236968,-19.5,-42.53,220
Ipoh,3909,Perak,657892,4.6,101.07,21.95
Ipswich,3910,East of England,151240,52.06,1.16,NULL
Iqaluit,3911,Nunavut,6699,63.75,-68.52,NULL
Iquique,3912,Tarapacá,294949,-20.22,-70.15,1
Iquitos,3913,Loreto,404545,-3.73,-73.25,104
Iraklio,3914,Kritis,173993,35.33,25.13,10
Irapuato,3915,Guanajuato,452090,20.67,-101.35,1724
Irbid,3916,Jordan,502714,32.55,35.85,620
Iringa,3917,Iringa,151345,-7.77,35.7,NULL
Irkutsk,3918,Irkutskaya,617264,52.31,104.3,444
Irvine,3919,California,307670,33.67,-117.82,17
Irving,3920,Texas,256684,32.81,-96.95,147
Iseyin,3921,Oyo,170936,7.97,3.6,NULL
Isiro,3922,Haut-Uele,NULL,2.77,27.62,750
Iskenderun,3923,Hatay,186699,36.58,36.17,4
Islamabad,3924,FCT Islamabad,1009832,33.72,73.07,507
Isparta,3925,Isparta,245784,37.76,30.56,1049
İstanbul,3926,İstanbul,15204387,41.01,28.96,40
Itaboraí,3927,Rio de Janeiro,215412,-22.74,-42.86,17
Itabuna,3928,Bahia,199643,-14.79,-39.28,54
Itagüi,3929,Antioquia,247918,6.17,-75.62,1550
Itajaí,3930,Santa Catarina,173452,-26.9,-48.67,2
Itanagar,3931,Arunachal Pradesh,NULL,27.1,93.62,750
Itapecerica da Serra,3932,São Paulo,151349,-23.72,-46.85,920
Itapetininga,3933,São Paulo,131050,-23.59,-48.05,656
Itapevi,3934,São Paulo,200769,-23.55,-46.93,741
Itaquaquecetuba,3935,São Paulo,321770,-23.49,-46.35,790
Itu,3936,São Paulo,144269,-23.26,-47.3,583
Ivano-Frankivsk,3937,Ivano-Frankivska,237855,48.92,24.71,244
Ivanovo,3938,Ivanovskaya,408330,57,40.98,120
Izhevsk,3939,Udmurtskaya,627734,56.83,53.18,140
İzmir,3940,İzmir,2947901,38.42,27.13,25
Jabalpur,3941,Madhya Pradesh,1055525,23.17,79.93,412
Jaboatão,3942,Pernambuco,630595,-8.11,-35.02,10
Jacareí,3943,São Paulo,208297,-23.31,-45.97,567
Jackson,3944,Mississippi,153701,32.3,-90.18,85
Jacksonville,3945,Florida,949611,30.34,-81.66,5
Jaén,3946,Andalucía,111915,37.77,-3.77,573
Jaipur,3947,Rajasthan,3046163,26.9,75.8,431
Jakarta,3948,DKI Jakarta,9607787,-6.2,106.82,8
Jalālābād,3949,Afghanistan,271900,34.43,70.5,575
Jalandhar,3950,Punjab,509510,31.33,75.58,228
Jalingo,3951,Taraba,NULL,8.9,11.37,NULL
Jambi,3952,Jambi,531857,-1.59,103.61,16
Jamestown,3953,Saint Helena,NULL,-15.95,-5.72,25
Jammu,3954,Jammu and Kashmir,NULL,32.73,74.87,327
Jamnagar,3955,Gujarat,350544,22.47,70.07,17
Jamshedpur,3956,Jharkhand,478950,22.8,86.3,135
Jaú,3957,São Paulo,126943,-22.3,-48.56,541
Jayapura,3958,Papua,256705,-2.53,140.72,20
Jazan,3959,Jazan,127743,16.89,42.56,40
Jeddah,3960,Makkah Al-Mokarramah,3430697,21.54,39.17,12
Jefferson City,3961,Missouri,43228,38.58,-92.17,192
Jeju,3962,South Korea,492306,33.51,126.52,NULL
Jelec,3963,Lipetskaya,108404,52.62,38.47,140
Jena,3964,Thüringen,105739,50.93,11.59,143
Jeonju,3965,South Korea,666517,35.82,127.15,NULL
Jequié,3966,Bahia,139426,-13.86,-40.08,215
Jerez de la Frontera,3967,Andalucía,213616,36.7,-6.12,56
Jersey City,3968,New Jersey,292449,40.71,-74.07,6
Jessentuki,3969,Stavropolskiy,119658,44.03,42.85,610
Jhang,3970,Punjab,414131,31.27,72.32,NULL
Jhansi,3971,Uttar Pradesh,313491,25.45,78.57,285
Jhelum,3972,Punjab,190425,32.93,73.73,250
Jhongli,3973,Taiwan,376217,24.96,121.22,NULL
Jiangmen,3974,Guangdong,1795459,22.57,113.07,10
Jiangyin,3975,Jiangsu,1331352,31.84,120.3,NULL
Jiaozuo,3976,Henan,874733,35.24,113.22,139
Jiaxing,3977,Zhejiang,1188321,30.77,120.75,NULL
Jieyang,3978,Guangdong,1242906,23.55,116.37,8
Jihlava,3979,Vysočina,50523,49.4,15.59,525
Jijiga,3980,Somali,198000,9.35,42.8,1609
Jilin,3981,Jilin,1509292,43.7,126.2,202
Jimma,3982,Oromia,250900,7.67,36.83,1780
Jinan,3983,Shandong,5648162,36.67,116.98,23
Jingzhou,3984,Hubei,950215,30.32,112.25,NULL
Jinhua,3985,Zhejiang,1040948,29.08,119.65,NULL
Jinja,3986,Eastern,76057,0.4,33.2,1143
Jinju,3987,South Korea,352403,35.2,128.08,NULL
Jinotega,3988,Nicaragua,123548,13.17,-86,1000
Jinzhou,3989,Liaoning,1021478,41.12,121.13,24
Jiujiang,3990,Jiangxi,947424,29.74,115.99,NULL
Jiutepec,3991,Morelos,174629,18.88,-99.17,1355
Jixi,3992,Heilongjiang,626019,45.3,130.97,230
Jizzax,3993,Jizzax,177447,40.12,67.84,378
João Pessoa,3994,Paraíba,720785,-7.08,-34.83,40
Jodhpur,3995,Rajasthan,1033756,26.28,73.02,231
Joensuu,3996,Pohjols-Karjala,74332,62.6,29.75,NULL
Johannesburg,3997,Gauteng,4434827,-26.2,28.05,1753
Johor Bahru,3998,Johor,497067,1.48,103.73,36.88
Joinville,3999,Santa Catarina,497850,-26.32,-48.84,4
Joliet,4000,Illinois,150362,41.52,-88.15,187
