name,country,province,population,latitude,longitude,elevation
Asaba,2821,Delta,NULL,6.2,6.73,45
Asahikawa,2822,Hokkaido,339605,43.77,142.32,116
Ashdod,2823,HaDarom,225939,31.8,34.65,NULL
Ashgabat,2824,Ashgabat,791000,37.93,58.37,219
Ashiaman,2825,Greater Accra,190972,5.7,-0.03,39
Asmara,2826,Eritrea,896000,15.32,38.92,2326
Asosa,2827,Benishangul-Gumuz,NULL,10.07,34.52,1570
Assen,2828,Drenthe,NULL,53,6.57,10
Astana,2829,Astana,1136008,51.17,71.43,347
Astrakhan,2830,Astrakhanskaya,475629,46.35,48.05,-25
Asunción,2831,Paraguay,521600,-25.27,-57.63,43
Aswan,2832,Egypt,337472,24.09,32.9,194
Asyut,2833,Egypt,480516,27.18,31.17,70
At Taif,2834,Makkah Al-Mokarramah,579970,21.43,40.35,1879
Atar,2835,Adrar,NULL,20.52,-13.05,270
Atbara,2836,Nahr an-Nīl,112021,17.72,33.99,350
Athens,2837,Georgia,127315,33.95,-83.38,194
Athina,2838,Attikis,664046,37.97,23.72,70
Atlanta,2839,Georgia,498715,33.76,-84.39,225
Atyrau,2840,Atyrau,196494,47.12,51.88,-20
Auckland,2841,New Zealand,1420600,-36.84,174.74,5
Augsburg,2842,Bayern,267767,48.37,10.9,494
Augusta,2843,Georgia,202081,33.47,-81.97,41
Augusta,2844,Maine,18899,44.31,-69.78,21
Aurangabad,2845,Maharashtra,1175116,19.88,75.32,568
Aurora,2846,Colorado,386261,39.73,-104.83,1668
Aurora,2847,Illinois,180542,41.76,-88.29,219
Austin,2848,Texas,961855,30.25,-97.75,149
Avarua,2849,Cook Islands,NULL,-21.12,-159.46,NULL
Aveiro,2850,Aveiro,62130,40.63,-8.65,NULL
Avellaneda,2851,Buenos Aires,342677,-34.67,-58.37,2
Awasa,2852,Sidama,422200,7.05,38.47,1708
Awka,2853,Anambra,104682,6.21,7.07,NULL
Ayacucho,2854,Ayacucho,218777,-13.16,-74.22,2761
Aydin,2855,Aydın,255254,37.85,27.85,67
Aysaita,2856,Afar,NULL,11.57,41.43,300
Az Zaqaziq,2857,Egypt,396852,30.57,31.5,NULL
Babati,2858,Manyara,NULL,-4.22,35.75,NULL
Babol,2859,Mazandaran,250217,36.55,52.68,-2
Bacău,2860,Bacău,144307,46.58,26.92,165
Bacolod,2861,Western Visayas,561875,10.67,122.95,10
Bacoor,2862,Calabarzon,600609,14.46,120.96,7
Badajoz,2863,Extremadura,151048,38.88,-6.97,185
Badalona,2864,Catalunya,221750,41.45,2.25,12
Bafoussam,2865,Ouest,239287,5.47,10.42,1521
Bagé,2866,Rio Grande do Sul,97765,-31.33,-54.11,212
Baghdad,2867,Baghdad,6719476,33.33,44.43,34
Bago,2868,Bago,491130,17.34,96.48,4
Baguio,2869,Cordillera,345366,16.42,120.6,1540
Bahawalpur,2870,Punjab,762111,29.4,71.68,461
Bahía Blanca,2871,Buenos Aires,301572,-38.72,-62.27,20
Bahir Dar,2872,Amhara,350000,11.6,37.38,1800
