"sea","country","province"
"Atlantic Ocean","CAM","Sud-Ouest"
"Atlantic Ocean","CDN","New Brunswick"
"Atlantic Ocean","CDN","Newfoundland and Labrador"
"Atlantic Ocean","CDN","Nova Scotia"
"Atlantic Ocean","CDN","Nunavut"
"Atlantic Ocean","CDN","Prince Edward Island"
"Atlantic Ocean","CDN","Quebec"
"Atlantic Ocean","CGO","Kongo Central"
"Atlantic Ocean","CI","Abidjan"
"Atlantic Ocean","CI","Bas-Sassandra"
"Atlantic Ocean","CI","Comoé"
"Atlantic Ocean","CI","Gôh-Djiboua"
"Atlantic Ocean","CI","Lagunes"
"Atlantic Ocean","CV","Cape Verde"
"Atlantic Ocean","DOM","Dominican Republic"
"Atlantic Ocean","E","Andalucía"
"Atlantic Ocean","E","Asturias"
"Atlantic Ocean","E","Canarias"
"Atlantic Ocean","E","Cantabria"
"Atlantic Ocean","E","Euskadi"
"Atlantic Ocean","E","Galicia"
"Atlantic Ocean","F","Bretagne"
"Atlantic Ocean","F","Nouvelle-Aquitaine"
"Atlantic Ocean","F","Pays de la Loire"
"Atlantic Ocean","FALK","Falkland Islands"
"Atlantic Ocean","FO","Faroe Islands"
"Atlantic Ocean","G","Gabon"
"Atlantic Ocean","GB","Northern Ireland"
"Atlantic Ocean","GB","Scotland"
"Atlantic Ocean","GB","South West England"
"Atlantic Ocean","GB","Wales"
"Atlantic Ocean","GBZ","Gibraltar"
"Atlantic Ocean","GF","French Guiana"
"Atlantic Ocean","GH","Central"
"Atlantic Ocean","GH","Greater Accra"
"Atlantic Ocean","GH","Volta"
"Atlantic Ocean","GH","Western"
"Atlantic Ocean","GL","Greenland"
"Atlantic Ocean","GP","Guadeloupe"
"Atlantic Ocean","GQ","Continental"
"Atlantic Ocean","GQ","Insular"
"Atlantic Ocean","GUB","Guinea-Bissau"
"Atlantic Ocean","GUY","Guyana"
"Atlantic Ocean","HELX","Saint Helena"
"Atlantic Ocean","IRL","Connacht"
"Atlantic Ocean","IRL","Leinster"
"Atlantic Ocean","IRL","Munster"
"Atlantic Ocean","IRL","Ulster"
"Atlantic Ocean","IS","Iceland"
"Atlantic Ocean","KN","Saint Kitts and Nevis"
"Atlantic Ocean","LB","Liberia"
"Atlantic Ocean","MA","Chaouia Ouardigha"
"Atlantic Ocean","MA","Doukala Abda"
"Atlantic Ocean","MA","Gharb Chrarda Beni Hssen"
"Atlantic Ocean","MA","Grand Casablanca"
"Atlantic Ocean","MA","Guelmim Es Semara"
"Atlantic Ocean","MA","Marrakech Tensift Al Haouz"
"Atlantic Ocean","MA","Rabat Sale Zemmour Zaer"
"Atlantic Ocean","MA","Souss Massa Daraa"
"Atlantic Ocean","MA","Tanger Tetouan"
"Atlantic Ocean","MNTS","Montserrat"
"Atlantic Ocean","MQ","Martinique"
"Atlantic Ocean","NAM","Namibia"
"Atlantic Ocean","NGR","Akwa Ibom"
"Atlantic Ocean","NGR","Cross River"
"Atlantic Ocean","NGR","Delta"
"Atlantic Ocean","NGR","Lagos"
"Atlantic Ocean","NGR","Ogun"
"Atlantic Ocean","NGR","Ondo"
"Atlantic Ocean","NGR","Rivers"
"Atlantic Ocean","P","Algarve"
"Atlantic Ocean","P","Aveiro"
"Atlantic Ocean","P","Azores"
"Atlantic Ocean","P","Beja"
"Atlantic Ocean","P","Braga"
"Atlantic Ocean","P","Coimbra"
"Atlantic Ocean","P","Leiria"
"Atlantic Ocean","P","Lisboa"
"Atlantic Ocean","P","Madeira"
"Atlantic Ocean","P","Porto"
"Atlantic Ocean","P","Setubal"
"Atlantic Ocean","P","Viana do Castelo"
"Atlantic Ocean","PR","Puerto Rico"
"Atlantic Ocean","RA","Buenos Aires"
"Atlantic Ocean","RA","Chubut"
"Atlantic Ocean","RA","Distrito Federal"
"Atlantic Ocean","RA","Entre Ríos"
"Atlantic Ocean","RA","Río Negro"
"Atlantic Ocean","RA","Santa Cruz"
"Atlantic Ocean","RA","Tierra del Fuego"
"Atlantic Ocean","RCB","Kouilou"
"Atlantic Ocean","RCB","Pointe-Noire"
"Atlantic Ocean","RCH","Magallanes"
"Atlantic Ocean","RG","Guinea"
"Atlantic Ocean","RH","Haiti"
"Atlantic Ocean","RIM","Dakhlet Nouadhibou"
"Atlantic Ocean","RIM","Inchiri"
"Atlantic Ocean","RIM","Nouakchott"
"Atlantic Ocean","RIM","Trarza"
"Atlantic Ocean","ROU","Uruguay"
"Atlantic Ocean","RSA","Northern Cape"
"Atlantic Ocean","RSA","Western Cape"
"Atlantic Ocean","RT","Togo"
"Atlantic Ocean","SBAR","Saint Barthelemy"
"Atlantic Ocean","SLE","Sierra Leone"
"Atlantic Ocean","SMAR","Saint Martin"
"Atlantic Ocean","SME","Suriname"
"Atlantic Ocean","SN","Dakar"
"Atlantic Ocean","SN","Fatick"
"Atlantic Ocean","SN","Louga"
"Atlantic Ocean","SN","Saint-Louis"
"Atlantic Ocean","SN","Thiès"
"Atlantic Ocean","SN","Ziguinchor"
"Atlantic Ocean","SPM","Saint Pierre and Miquelon"
"Atlantic Ocean","STP","Sao Tome and Principe"
"Atlantic Ocean","SVA","Svalbard"
"Atlantic Ocean","SX","Sint Maarten"
"Atlantic Ocean","TT","Trinidad and Tobago"
"Atlantic Ocean","TUCA","Turks and Caicos Islands"
"Atlantic Ocean","USA","Connecticut"
"Atlantic Ocean","USA","Delaware"
"Atlantic Ocean","USA","Florida"
"Atlantic Ocean","USA","Georgia"
"Atlantic Ocean","USA","Maine"
"Atlantic Ocean","USA","Maryland"
"Atlantic Ocean","USA","Massachusetts"
"Atlantic Ocean","USA","New Hampshire"
"Atlantic Ocean","USA","New Jersey"
"Atlantic Ocean","USA","New York"
"Atlantic Ocean","USA","North Carolina"
"Atlantic Ocean","USA","Rhode Island"
"Atlantic Ocean","USA","South Carolina"
"Atlantic Ocean","USA","Virginia"
